,Unnamed: 0,travel_date,ratings,flight_type,flight_class,review_title,review_text,Airline_Company,Airline_Class,Airline_Origin,all_review,preprocess_data,topic_sentiment
1496,1496, July 2019,1,Domestic,Economy,Do not fly with these crooks,"Literally the worst experience I've ever had with any airline. Customer service is non existent,  they do not care if they made a mistake,  many rude too.  They advertise as cheap flights... but 80% of the time they cost you more money than all of the good carriers.  Late all…",Allegiant,low-cost,USA,"['do', 'not', 'fly', 'with', 'these', 'crooksliterally', 'the', 'worst', 'experience', 've', 'ever', 'had', 'with', 'any', 'airline', 'customer', 'service', 'is', 'non', 'existent', 'they', 'do', 'not', 'care', 'if', 'they', 'made', 'mistake', 'many', 'rude', 'too', 'they', 'advertise', 'as', 'cheap', 'flights', 'but', 'of', 'the', 'time', 'they', 'cost', 'you', 'more', 'money', 'than', 'all', 'of', 'the', 'good', 'carriers', 'late', 'all']",fly crooksliterally worst experience ve airline customer service non existent care mistake rude advertise cheap flights time cost money good carriers late,"{'experience': (-1, 'worst'), 'care mistake': (-1, 'mistake'), 'flights': (-1, 'cheap'), 'carriers': (1, 'good')}"
1497,1497, July 2019,5,Caribbean,Economy,Family vacation ,"We were a group of 12 and this was the 1st time many of us(10), have flown on Allegiant,  let alone a direct flight.   We ALL were VERY impressed with the service and friendliness of everyone.   From the bag handlers to the attendants,  we ALL thought everything went very…",Allegiant,low-cost,USA,"['family', 'vacation', 'we', 'were', 'group', 'of', 'and', 'this', 'was', 'the', 'st', 'time', 'many', 'of', 'us', 'have', 'flown', 'on', 'allegiant', 'let', 'alone', 'direct', 'flight', 'we', 'all', 'were', 'very', 'impressed', 'with', 'the', 'service', 'and', 'friendliness', 'of', 'everyone', 'from', 'the', 'bag', 'handlers', 'to', 'the', 'attendants', 'we', 'all', 'thought', 'everything', 'went', 'very']",family vacation group st time flown allegiant let direct flight impressed service friendliness bag handlers attendants thought went,"{'service': (1, 'impressed'), 'bag': (1, 'friendliness')}"
1498,1498, July 2019,5,Domestic,Economy,great experience,"Every employee I interacted was very helpful, captain was fantastic and the Airline flight attendants were exceptionally wonderful",Allegiant,low-cost,USA,"['great', 'experienceevery', 'employee', 'interacted', 'was', 'very', 'helpful', 'captain', 'was', 'fantastic', 'and', 'the', 'airline', 'flight', 'attendants', 'were', 'exceptionally', 'wonderful']",great experienceevery employee interacted helpful captain fantastic airline flight attendants exceptionally wonderful,"{'employee': (1, 'great'), 'attendants': (1, 'fantastic')}"
1499,1499, July 2019,5,Domestic,Economy,first flght,First flight ever and had a good experience staff was helpful and answered all the questions and the piolet done a great job of keeping us safe,Allegiant,low-cost,USA,"['first', 'flghtfirst', 'flight', 'ever', 'and', 'had', 'good', 'experience', 'staff', 'was', 'helpful', 'and', 'answered', 'all', 'the', 'questions', 'and', 'the', 'piolet', 'done', 'great', 'job', 'of', 'keeping', 'us', 'safe']",flghtfirst flight good experience staff helpful answered questions piolet great job keeping safe,"{'experience': (1, 'good'), 'questions': (1, 'helpful'), 'job': (1, 'great')}"
1500,1500, July 2019,4,Domestic,Economy,Smooth both ways,"Flight was 6am on a Thursday.  I was surprised at the long length of the security line that early (in Sanford).  Other than that, the plane left on time, and arrived on time with no issues.  My suitcase came out pretty fast too.",Allegiant,low-cost,USA,"['smooth', 'both', 'waysflight', 'was', 'am', 'on', 'thursday', 'was', 'surprised', 'at', 'the', 'long', 'length', 'of', 'the', 'security', 'line', 'that', 'early', 'in', 'sanford', 'other', 'than', 'that', 'the', 'plane', 'left', 'on', 'time', 'and', 'arrived', 'on', 'time', 'with', 'no', 'issues', 'my', 'suitcase', 'came', 'out', 'pretty', 'fast', 'too']",smooth waysflight thursday surprised long length security line early sanford plane left time arrived time issues suitcase came pretty fast,"{'waysflight': (1, 'smooth'), 'time': (-1, 'issues'), 'issues': (-1, 'issues')}"
1501,1501, July 2019,5,Domestic,Economy,exceeded my expectations,"this is a no frills airline so my expecttions were pretty low. my experience however was not that at all. the staff was very nice, the plane was clean and there was no nickle and diming. Everything was up front priced. you have to pay for checked bags but once you do, its smooth…",Allegiant,low-cost,USA,"['exceeded', 'my', 'is', 'no', 'frills', 'airline', 'so', 'my', 'expecttions', 'were', 'pretty', 'low', 'my', 'experience', 'however', 'was', 'not', 'that', 'at', 'all', 'the', 'staff', 'was', 'very', 'nice', 'the', 'plane', 'was', 'clean', 'and', 'there', 'was', 'no', 'nickle', 'and', 'diming', 'everything', 'was', 'up', 'front', 'priced', 'you', 'have', 'to', 'pay', 'for', 'checked', 'bags', 'but', 'once', 'you', 'do', 'its', 'smooth']",exceeded frills airline expecttions pretty low experience staff nice plane clean nickle diming priced pay checked bags smooth,"{'frills': (1, 'exceeded'), 'expecttions': (1, 'exceeded'), 'nickle': (1, 'clean'), 'plane': (1, 'nice'), 'bags': (1, 'smooth')}"
1502,1502, July 2019,5,Domestic,Economy,Best Fares: Omaha to Florida,"Great flight! Boarded early, arrived in Florida early, baggage claim IN VSP was easy. Convenient access to rental car company. In-flight service was excellent. Flight attendants were professional and very kind. I will continue to fly Allegiant.",Allegiant,low-cost,USA,"['best', 'fares', 'omaha', 'to', 'floridagreat', 'flight', 'boarded', 'early', 'arrived', 'in', 'florida', 'early', 'baggage', 'claim', 'in', 'vsp', 'was', 'easy', 'convenient', 'access', 'to', 'rental', 'car', 'company', 'in', 'flight', 'service', 'was', 'excellent', 'flight', 'attendants', 'were', 'professional', 'and', 'very', 'kind', 'will', 'continue', 'to', 'fly', 'allegiant']",best fares omaha floridagreat flight boarded early arrived florida early baggage claim vsp easy convenient access rental car company flight service excellent flight attendants professional kind continue fly allegiant,"{'fares': (1, 'best'), 'attendants': (1, 'excellent')}"
1503,1503, July 2019,5,Domestic,Economy,Great for budget,Savannah airport was great!  Allegiant flights both ways had no issues and is much cheaper and as nice as the traditional airlines.,Allegiant,low-cost,USA,"['great', 'for', 'budgetsavannah', 'airport', 'was', 'great', 'allegiant', 'flights', 'both', 'ways', 'had', 'no', 'issues', 'and', 'is', 'much', 'cheaper', 'and', 'as', 'nice', 'as', 'the', 'traditional', 'airlines']",great budgetsavannah airport great allegiant flights ways issues cheaper nice traditional airlines,"{'airport': (1, 'great'), 'flights': (1, 'great'), 'flights ways': (-1, 'issues'), 'airlines': (1, 'nice')}"
1504,1504, July 2019,3,Domestic,Economy,Ok flight,"We tried Allegiant because it looked cheaper. But you do have to pay for checked bags and for carry on bags. We were fine on the way there, but coming back they said our checked bag was over 40 pounds and we had to pay another $50 for it. This was NOT said on the way there.…",Allegiant,low-cost,USA,"['ok', 'flightwe', 'tried', 'allegiant', 'because', 'it', 'looked', 'cheaper', 'but', 'you', 'do', 'have', 'to', 'pay', 'for', 'checked', 'bags', 'and', 'for', 'carry', 'on', 'bags', 'we', 'were', 'fine', 'on', 'the', 'way', 'there', 'but', 'coming', 'back', 'they', 'said', 'our', 'checked', 'bag', 'was', 'over', 'pounds', 'and', 'we', 'had', 'to', 'pay', 'another', 'for', 'it', 'this', 'was', 'not', 'said', 'on', 'the', 'way', 'there']",ok flightwe tried allegiant looked cheaper pay checked bags carry bags fine way coming said checked bag pounds pay said way,"{'bags': (1, 'cheaper'), 'way': (1, 'fine')}"
1505,1505, July 2019,1,Domestic,Economy,Inconsiderate,"Was delayed an hour. Then they had us board and sit and wait 40 minutes in the hot plane for the 1st Officer to arrive from Phoenix.Never offered us anything to drink. I started having breathing issues but, they went concerned about it.  I always fly if of Moline to Las Vegas,…",Allegiant,low-cost,USA,"['delayed', 'an', 'hour', 'then', 'they', 'had', 'us', 'board', 'and', 'sit', 'and', 'wait', 'minutes', 'in', 'the', 'hot', 'plane', 'for', 'the', 'st', 'officer', 'to', 'arrive', 'from', 'phoenix', 'never', 'offered', 'us', 'anything', 'to', 'drink', 'started', 'having', 'breathing', 'issues', 'but', 'they', 'went', 'concerned', 'about', 'it', 'always', 'fly', 'if', 'of', 'moline', 'to', 'las', 'vegas']",delayed hour board sit wait minutes hot plane st officer arrive phoenix offered drink started having breathing issues went concerned fly moline las vegas,"{'board': (-1, 'delayed'), 'plane': (1, 'hot'), 'breathing issues': (-1, 'concerned')}"
